company_name,industry,job_title,experience_level,employment_type,posted_date,company_size,city,country,min_salary,max_salary,avg_salary,year,month,day_name,quarter,AWS,Azure,BigQuery,C++,CUDA,Excel,FastAPI,Flask,GCP,Hugging Face,KDB+,Keras,LangChain,MLflow,NumPy,Pandas,Power BI,PyTorch,Python,R,Reinforcement Learning,SQL,Scikit-learn,TensorFlow,skills_count
Foster and Sons,Healthcare,Data Analyst,Mid,Full-time,2025-08-20,Large,Tracybury,Argentina,92860.0,109598.0,101229.0,2025,August,Wednesday,Q3,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,8
"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,Senior,Full-time,2024-03-22,Large,Lake Scott,Cuba,78523.0,144875.0,111699.0,2024,March,Friday,Q1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,7
King Inc,Tech,Quant Researcher,Entry,Full-time,2025-09-18,Large,East Paige,Cameroon,124496.0,217204.0,170850.0,2025,September,Thursday,Q3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,8
"Cooper, Archer and Lynch",Tech,AI Product Manager,Mid,Full-time,2024-05-08,Large,Perezview,Finland,50908.0,123743.0,87325.5,2024,May,Wednesday,Q2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,9
Hall LLC,Finance,Data Scientist,Senior,Contract,2025-02-24,Large,North Desireeland,Niger,98694.0,135413.0,117053.5,2025,February,Monday,Q1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,6
Ellis PLC,E-commerce,AI Product Manager,Senior,Remote,2025-08-07,Large,South Kevin,Tanzania,92632.0,180718.0,136675.0,2025,August,Thursday,Q3,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,7
Matthews-Moses,Automotive,Data Analyst,Mid,Full-time,2024-12-23,Large,West Shawn,Liberia,70575.0,88594.0,79584.5,2024,December,Monday,Q4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,6
Mullins Ltd,Education,Data Scientist,Entry,Internship,2024-08-14,Large,Port Hailey,Russia,63032.0,82144.0,72588.0,2024,August,Wednesday,Q3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Aguilar PLC,Healthcare,ML Engineer,Entry,Internship,2025-09-15,Large,Butlermouth,United Kingdom,134239.0,188504.0,161371.5,2025,September,Monday,Q3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6
Parks LLC,Automotive,Computer Vision Engineer,Senior,Full-time,2025-08-07,Large,Nicoleshire,Bosnia and Herzegovina,79361.0,165029.0,122195.0,2025,August,Thursday,Q3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4
Vaughan-Ortiz,Tech,Data Scientist,Entry,Internship,2024-01-10,Large,New Angelatown,Luxembourg,99964.0,125971.0,112967.5,2024,January,Wednesday,Q1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,6
"Johnson, Guzman and Hernandez",Finance,ML Engineer,Entry,Full-time,2024-03-15,Large,Joychester,Lithuania,63583.0,132670.0,98126.5,2024,March,Friday,Q1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,7
